Time,Channel A,Channel D
(ms),(V),(V)
,,
0.98123834,-1.142107,406.4217
0.98623834,-1.187889,406.7269
0.99123834,-1.10365,406.7269
0.99623834,-1.205591,406.7269
1.00123834,-1.142107,406.9711
1.00623834,-1.163472,406.7269
1.01123834,-0.9870589,407.2763
1.01623834,-1.480894,407.5204
1.02123834,-1.089611,406.9711
1.02623834,-1.093273,406.9711
1.03123834,-1.202539,407.2763
1.03623834,-1.085948,406.9711
1.04123834,-1.14577,406.9711
1.04623834,-1.13173,406.9711
1.05123834,-1.209254,406.9711
1.05623834,-1.139055,406.9711
1.06123834,-1.170797,406.9711
1.06623834,-1.050543,406.7269
1.07123834,-1.219631,406.9711
1.07623834,-1.089611,407.2763
1.08123834,-1.012086,407.2763
1.08623834,-0.8747405,406.9711
1.09123834,-1.269076,406.7269
1.09623834,-1.078623,406.4217
1.10123834,-1.226956,406.7269
1.10623834,-1.114028,406.7269
1.11123834,-1.15981,406.7269
1.11623834,-1.099988,406.7269
1.12123834,-1.216579,406.4217
1.12623834,-1.068246,406.7269
1.13123834,-1.209254,406.4217
1.13623834,-1.012086,406.7269
1.14123834,-1.272738,406.4217
1.14623834,-1.022464,406.7269
1.15123834,-1.139055,406.9711
1.15623834,-0.557319,406.9711
1.16123834,-1.674399,406.7269
1.16623834,-1.170797,406.7269
1.17123834,-1.219631,406.4217
1.17623834,-1.050543,406.9711
1.18123834,-1.125015,406.7269
1.18623834,-1.082285,406.9711
1.19123834,-1.198877,406.9711
1.19623834,-1.082285,406.7269
1.20123834,-1.107313,406.7269
1.20623834,-1.099988,406.7269
1.21123834,-1.15981,406.9711
1.21623834,-1.128067,407.2763
1.22123834,-1.110365,406.9711
1.22623834,-0.8887804,406.9711
1.23123834,-1.11769,406.9711
1.23623833,-1.099988,406.9711
1.24123833,-1.075571,406.9711
1.24623833,-1.085948,406.4217
1.25123833,-1.043829,406.9711
1.25623833,-1.139055,406.9711
1.26123833,-1.093273,406.7269
1.26623833,-1.205591,406.7269
1.27123833,-0.9486021,406.7269
1.27623833,-1.135392,406.9711
1.28123833,-1.071908,406.7269
1.28623833,-1.075571,406.9711
1.29123833,-1.082285,406.7269
1.29623833,-0.9907215,406.9711
1.30123833,-0.7758515,406.9711
1.30623833,-1.234282,407.5204
1.31123833,-1.047491,406.9711
1.31623833,-1.230619,406.9711
1.32123833,-1.036503,406.9711
1.32623833,-1.191552,406.9711
1.33123833,-1.078623,407.2763
1.33623833,-1.15981,406.9711
1.34123833,-1.022464,406.9711
1.34623833,-1.170797,407.2763
1.35123833,-1.026126,407.2763
1.35623833,-1.410084,407.2763
